# timestamp, linear_acceleration.x, linear_acceleration.y, linear_acceleration.z, angular_velocity.x, angular_velocity.y, angular_velocity.z
2.515714443000000244e+00,-2.697999954223632812e+00,-1.243000030517578125e+00,-6.752999782562255859e+00,5.099999904632568359e-02,-1.000000047497451305e-03,-1.280000060796737671e-01
2.523763666000000239e+00,-2.467999935150146484e+00,7.540000081062316895e-01,-4.794000148773193359e+00,4.399999976158142090e-02,-4.800000041723251343e-02,-4.050000011920928955e-01
2.534768443000000371e+00,-2.467999935150146484e+00,7.540000081062316895e-01,-4.794000148773193359e+00,4.399999976158142090e-02,-4.800000041723251343e-02,-4.050000011920928955e-01
2.546411480000000171e+00,-2.793999910354614258e+00,1.434000015258789062e+00,-1.006599998474121094e+01,4.699999839067459106e-02,-1.030000001192092896e-01,-3.379999995231628418e-01
2.559034351000000207e+00,-2.793999910354614258e+00,1.434000015258789062e+00,-1.006599998474121094e+01,4.699999839067459106e-02,-1.030000001192092896e-01,-3.379999995231628418e-01
2.563513684000000126e+00,-5.099999904632568359e-01,-9.219999909400939941e-01,-9.017999649047851562e+00,6.000000052154064178e-03,8.399999886751174927e-02,-2.540000081062316895e-01
2.576840516999999942e+00,-5.099999904632568359e-01,-9.219999909400939941e-01,-9.017999649047851562e+00,6.000000052154064178e-03,8.399999886751174927e-02,-2.540000081062316895e-01
2.586135536000000013e+00,2.545000076293945312e+00,-1.664000034332275391e+00,-1.134500026702880859e+01,7.000000216066837311e-03,1.270000040531158447e-01,-8.699999749660491943e-02
2.593927925000000023e+00,2.545000076293945312e+00,-1.664000034332275391e+00,-1.134500026702880859e+01,7.000000216066837311e-03,1.270000040531158447e-01,-8.699999749660491943e-02
2.603991036000000037e+00,7.400000095367431641e-01,5.820000171661376953e-01,-8.696999549865722656e+00,-1.799999922513961792e-02,-1.659999936819076538e-01,-1.200000010430812836e-02
2.614021573000000043e+00,7.400000095367431641e-01,5.820000171661376953e-01,-8.696999549865722656e+00,-1.799999922513961792e-02,-1.659999936819076538e-01,-1.200000010430812836e-02
2.623814016999999943e+00,7.829999923706054688e-01,-3.519999980926513672e-01,-8.715999603271484375e+00,3.099999949336051941e-02,-1.300000026822090149e-02,1.389999985694885254e-01
2.634257091000000273e+00,7.829999923706054688e-01,-3.519999980926513672e-01,-8.715999603271484375e+00,3.099999949336051941e-02,-1.300000026822090149e-02,1.389999985694885254e-01
2.645835351000000113e+00,1.609999984502792358e-01,-1.650000065565109253e-01,-9.736000061035156250e+00,4.999999888241291046e-03,9.099999815225601196e-02,1.500000059604644775e-01
2.653960091000000077e+00,1.609999984502792358e-01,-1.650000065565109253e-01,-9.736000061035156250e+00,4.999999888241291046e-03,9.099999815225601196e-02,1.500000059604644775e-01
2.663731814000000142e+00,9.120000004768371582e-01,8.799999952316284180e-02,-9.248000144958496094e+00,3.000000026077032089e-03,-2.400000020861625671e-02,1.000000014901161194e-01
2.676149332000000047e+00,9.120000004768371582e-01,8.799999952316284180e-02,-9.248000144958496094e+00,3.000000026077032089e-03,-2.400000020861625671e-02,1.000000014901161194e-01
2.684954054000000312e+00,9.359999895095825195e-01,2.600000053644180298e-02,-9.607000350952148438e+00,-2.800000086426734924e-02,3.599999845027923584e-02,5.900000035762786865e-02
2.696204888000000022e+00,9.359999895095825195e-01,2.600000053644180298e-02,-9.607000350952148438e+00,-2.800000086426734924e-02,3.599999845027923584e-02,5.900000035762786865e-02
2.703635091000000212e+00,8.650000095367431641e-01,-3.759999871253967285e-01,-9.965999603271484375e+00,-1.300000026822090149e-02,-2.800000086426734924e-02,8.000000379979610443e-03
2.715534980000000154e+00,8.650000095367431641e-01,-3.759999871253967285e-01,-9.965999603271484375e+00,-1.300000026822090149e-02,-2.800000086426734924e-02,8.000000379979610443e-03
2.724572221000000294e+00,9.799999743700027466e-02,1.360000073909759521e-01,-6.685999870300292969e+00,1.999999955296516418e-02,-2.199999988079071045e-02,-2.199999988079071045e-02
2.737838090999999974e+00,9.799999743700027466e-02,1.360000073909759521e-01,-6.685999870300292969e+00,1.999999955296516418e-02,-2.199999988079071045e-02,-2.199999988079071045e-02
2.745180591000000003e+00,9.599999785423278809e-01,-2.849999964237213135e-01,-1.015299987792968750e+01,-1.799999922513961792e-02,2.800000086426734924e-02,-3.900000080466270447e-02
2.757257406000000355e+00,9.599999785423278809e-01,-2.849999964237213135e-01,-1.015299987792968750e+01,-1.799999922513961792e-02,2.800000086426734924e-02,-3.900000080466270447e-02
2.764418869000000001e+00,1.161000013351440430e+00,4.329999983310699463e-01,-1.189599990844726562e+01,7.000000216066837311e-03,-1.799999922513961792e-02,5.000000074505805969e-02
2.776235128000000163e+00,1.161000013351440430e+00,4.329999983310699463e-01,-1.189599990844726562e+01,7.000000216066837311e-03,-1.799999922513961792e-02,5.000000074505805969e-02
2.785197684000000340e+00,1.940000057220458984e-01,7.900000363588333130e-02,-1.023400020599365234e+01,4.300000146031379700e-02,-6.100000068545341492e-02,1.700000092387199402e-02
2.794355517000000066e+00,1.940000057220458984e-01,7.900000363588333130e-02,-1.023400020599365234e+01,4.300000146031379700e-02,-6.100000068545341492e-02,1.700000092387199402e-02
2.807102962000000090e+00,-2.800000011920928955e-01,-7.730000019073486328e-01,-8.395000457763671875e+00,2.400000020861625671e-02,-2.099999971687793732e-02,-2.500000037252902985e-02
2.815713628000000135e+00,-2.800000011920928955e-01,-7.730000019073486328e-01,-8.395000457763671875e+00,2.400000020861625671e-02,-2.099999971687793732e-02,-2.500000037252902985e-02
2.823994110000000113e+00,2.280000001192092896e-01,5.000000074505805969e-02,-9.156999588012695312e+00,7.000000216066837311e-03,2.800000086426734924e-02,5.700000002980232239e-02
2.836776147000000137e+00,2.280000001192092896e-01,5.000000074505805969e-02,-9.156999588012695312e+00,7.000000216066837311e-03,2.800000086426734924e-02,5.700000002980232239e-02
2.844262073000000335e+00,4.909999966621398926e-01,-1.169999986886978149e-01,-1.051200008392333984e+01,-1.099999994039535522e-02,2.700000070035457611e-02,3.299999982118606567e-02
2.854087536000000203e+00,4.909999966621398926e-01,-1.169999986886978149e-01,-1.051200008392333984e+01,-1.099999994039535522e-02,2.700000070035457611e-02,3.299999982118606567e-02
2.865831702000000369e+00,-1.639999985694885254e+00,-9.269999861717224121e-01,-9.352999687194824219e+00,-2.700000070035457611e-02,-8.999999612569808960e-03,-8.000000379979610443e-03
2.874534906000000056e+00,-1.639999985694885254e+00,-9.269999861717224121e-01,-9.352999687194824219e+00,-2.700000070035457611e-02,-8.999999612569808960e-03,-8.000000379979610443e-03
2.884287628000000048e+00,-1.343000054359436035e+00,2.849999964237213135e-01,-8.164999961853027344e+00,-3.000000026077032089e-03,-4.699999839067459106e-02,5.700000002980232239e-02
2.893654017000000245e+00,-1.343000054359436035e+00,2.849999964237213135e-01,-8.164999961853027344e+00,-3.000000026077032089e-03,-4.699999839067459106e-02,5.700000002980232239e-02
2.907336813000000131e+00,-7.000000216066837311e-03,-4.050000011920928955e-01,-1.156999969482421875e+01,-3.599999845027923584e-02,8.999999612569808960e-03,-3.510000109672546387e-01
2.913869331999999979e+00,-7.000000216066837311e-03,-4.050000011920928955e-01,-1.156999969482421875e+01,-3.599999845027923584e-02,8.999999612569808960e-03,-3.510000109672546387e-01
2.925192628000000017e+00,-1.758999943733215332e+00,1.429000020027160645e+00,-1.515200042724609375e+01,3.700000047683715820e-02,2.400000020861625671e-02,-1.930000036954879761e-01
2.933890610000000176e+00,-1.758999943733215332e+00,1.429000020027160645e+00,-1.515200042724609375e+01,3.700000047683715820e-02,2.400000020861625671e-02,-1.930000036954879761e-01
2.945660888000000366e+00,4.189999997615814209e-01,7.919999957084655762e-01,-1.077499961853027344e+01,-2.099999971687793732e-02,-3.099999949336051941e-02,-2.099999934434890747e-01
2.953568536000000133e+00,4.189999997615814209e-01,7.919999957084655762e-01,-1.077499961853027344e+01,-2.099999971687793732e-02,-3.099999949336051941e-02,-2.099999934434890747e-01
2.964174128000000241e+00,4.189999997615814209e-01,7.919999957084655762e-01,-1.077499961853027344e+01,-2.099999971687793732e-02,-3.099999949336051941e-02,-2.099999934434890747e-01
2.977129295000000120e+00,4.189999997615814209e-01,7.919999957084655762e-01,-1.077499961853027344e+01,-2.099999971687793732e-02,-3.099999949336051941e-02,-2.099999934434890747e-01
2.985263313000000363e+00,4.189999997615814209e-01,7.919999957084655762e-01,-1.077499961853027344e+01,-2.099999971687793732e-02,-3.099999949336051941e-02,-2.099999934434890747e-01
2.995044739000000344e+00,4.189999997615814209e-01,7.919999957084655762e-01,-1.077499961853027344e+01,-2.099999971687793732e-02,-3.099999949336051941e-02,-2.099999934434890747e-01
3.004452202000000405e+00,4.189999997615814209e-01,-4.239999949932098389e-01,-1.112500000000000000e+01,1.200000010430812836e-02,-1.799999922513961792e-02,1.080000028014183044e-01
3.014402628000000028e+00,4.189999997615814209e-01,-4.239999949932098389e-01,-1.112500000000000000e+01,1.200000010430812836e-02,-1.799999922513961792e-02,1.080000028014183044e-01
3.026223480000000077e+00,1.700000017881393433e-01,1.599999964237213135e-01,-1.216899967193603516e+01,3.599999845027923584e-02,3.400000184774398804e-02,7.699999958276748657e-02
3.033607665000000342e+00,1.700000017881393433e-01,1.599999964237213135e-01,-1.216899967193603516e+01,3.599999845027923584e-02,3.400000184774398804e-02,7.699999958276748657e-02
3.043936962000000079e+00,-2.419999986886978149e-01,1.601999998092651367e+00,-1.095699977874755859e+01,2.999999932944774628e-02,-6.800000369548797607e-02,-5.600000172853469849e-02
3.054947406000000143e+00,-2.419999986886978149e-01,1.601999998092651367e+00,-1.095699977874755859e+01,2.999999932944774628e-02,-6.800000369548797607e-02,-5.600000172853469849e-02
3.064972962000000134e+00,-2.700000107288360596e-01,9.120000004768371582e-01,-8.940999984741210938e+00,2.199999988079071045e-02,-7.000000216066837311e-03,-7.000000029802322388e-02
3.074365683999999987e+00,-2.700000107288360596e-01,9.120000004768371582e-01,-8.940999984741210938e+00,2.199999988079071045e-02,-7.000000216066837311e-03,-7.000000029802322388e-02
3.084305628000000077e+00,-1.940000057220458984e-01,8.830000162124633789e-01,-1.165100002288818359e+01,2.400000020861625671e-02,-7.900000363588333130e-02,-1.400000005960464478e-01
3.094086757999999993e+00,-1.940000057220458984e-01,8.830000162124633789e-01,-1.165100002288818359e+01,2.400000020861625671e-02,-7.900000363588333130e-02,-1.400000005960464478e-01
3.104426017000000204e+00,-1.582000017166137695e+00,1.093999981880187988e+00,-4.368000030517578125e+00,3.000000026077032089e-03,-2.700000070035457611e-02,-1.439999938011169434e-01
3.113846387000000160e+00,-1.582000017166137695e+00,1.093999981880187988e+00,-4.368000030517578125e+00,3.000000026077032089e-03,-2.700000070035457611e-02,-1.439999938011169434e-01
3.124180276000000145e+00,-5.479999780654907227e-01,2.419999986886978149e-01,-1.004699993133544922e+01,8.000000379979610443e-03,1.899999938905239105e-02,-1.449999958276748657e-01
3.133928462000000081e+00,-5.479999780654907227e-01,2.419999986886978149e-01,-1.004699993133544922e+01,8.000000379979610443e-03,1.899999938905239105e-02,-1.449999958276748657e-01
3.144112795000000293e+00,2.329999953508377075e-01,2.179999947547912598e-01,-1.049699974060058594e+01,4.000000189989805222e-03,2.400000020861625671e-02,-1.120000034570693970e-01
