#timestamp, acel_linear, vel_angular
10.3538,8.9531,0.137572
10.3651,5.72398,0.0775177
10.3749,5.72398,0.0775177
10.3853,9.81377,0.122348
10.3968,9.81377,0.122348
10.4037,9.81377,0.122348
10.4138,9.81377,0.122348
10.4257,9.6705,0.130311
10.4338,9.6705,0.130311
10.4476,9.64069,0.0522398
10.4547,9.64069,0.0522398
10.4652,8.40536,0.12642
10.4759,8.40536,0.12642
10.4851,10.0987,0.18422
10.4948,10.0987,0.18422
10.5044,9.43844,0.238671
10.5171,9.43844,0.238671
10.5267,9.43844,0.238671
10.5342,9.43844,0.238671
10.5453,8.80767,0.171146
10.5541,8.80767,0.171146
10.5655,12.0713,0.0408044
10.5753,12.0713,0.0408044
10.5842,10.099,0.0196214
10.597,10.099,0.0196214
10.6045,17.3829,0.360064
10.615,17.3829,0.360064
10.6238,14.5201,0.273282
10.6342,14.5201,0.273282
10.6445,13.9752,0.264413
10.6564,13.9752,0.264413
10.6643,8.99591,0.117826
10.6737,8.99591,0.117826
10.6848,12.543,0.114569
10.6959,12.543,0.114569
10.7036,10.2217,0.110431
10.716,8.76993,0.0363456
10.7249,8.76993,0.0363456
10.7348,8.76993,0.0363456
10.7452,8.76993,0.0363456
10.7552,8.76993,0.0363456
10.7675,8.98215,0.116142
10.7748,8.98215,0.116142
10.7858,9.86165,0.0704344
10.7943,9.86165,0.0704344
10.8059,11.2475,0.0524881
10.8176,11.2475,0.0524881
10.827,7.51681,0.12274
10.8354,7.51681,0.12274
10.8449,8.55005,0.106644
10.867,8.55005,0.106644
10.8761,8.55005,0.106644
10.884,10.4471,0.0634429
10.8973,10.4471,0.0634429
10.9047,11.1448,0.081939
10.922,11.1448,0.081939
10.9265,13.01,0.104657
10.941,13.01,0.104657
10.9452,11.5181,0.0725121
10.955,11.5181,0.0725121
10.9654,14.0403,0.108167
10.9755,14.0403,0.108167
10.9854,6.82381,0.208876
11,6.82381,0.208876
11.0049,10.0883,0.182508
11.0181,10.0883,0.182508
11.0261,10.4523,0.012083
11.0337,10.4523,0.012083
11.0455,10.2681,0.0366333
11.0538,10.2681,0.0366333
11.065,5.68479,0.120723
11.076,5.68479,0.120723
11.087,12.844,0.12931
11.095,12.844,0.12931
11.1102,12.844,0.12931
11.1149,12.844,0.12931
11.1256,5.14774,0.146414
11.1343,5.14774,0.146414
11.1456,6.51079,0.359419
11.1541,6.51079,0.359419
11.1704,9.59135,0.175
11.174,9.59135,0.175
11.1843,13.5992,0.134078
11.198,13.5992,0.134078
11.2053,9.74315,0.0911098
11.214,9.74315,0.0911098
11.224,10.4613,0.100703
11.234,10.4613,0.100703
11.2482,9.02395,0.128674
11.2543,9.02395,0.128674
11.2638,9.02395,0.128674
11.2767,9.02395,0.128674
11.2848,8.67746,0.287435
11.298,8.67746,0.287435
11.3101,9.34187,0.109366
11.3218,9.34187,0.109366
11.335,8.57759,0.0890562
11.3439,10.9592,0.0283549
11.3568,10.9592,0.0283549
11.3703,9.04045,0.0964832
11.3838,10.7685,0.171785
11.3843,10.7685,0.171785
11.3942,10.7685,0.171785
11.4055,8.50412,0.0564358
11.4164,8.50412,0.0564358
11.4237,7.53659,0.0405463
11.4343,7.53659,0.0405463
11.4458,7.53659,0.0405463
11.4544,7.53659,0.0405463
11.464,9.46916,0.12746
11.4772,9.46916,0.12746
11.4901,14.4064,0.301332
11.4964,14.4064,0.301332
11.5054,13.4864,0.363639
11.5161,13.4864,0.363639
11.5246,10.5334,0.200534
11.5354,10.5334,0.200534
11.5454,6.72114,0.0488876
11.5605,6.72114,0.0488876
11.5706,14.6803,0.166655
11.5744,14.6803,0.166655
11.5862,5.98664,0.120021
11.6014,5.98664,0.120021
11.6041,11.8497,0.198043
11.6171,11.8497,0.198043
11.6251,12.1713,0.0804736
11.6346,12.1713,0.0804736
11.6446,9.76883,0.059279
11.6575,9.76883,0.059279
11.664,9.2427,0.0326956
11.6822,9.2427,0.0326956
11.6868,10.0027,0.104408
11.6965,10.0027,0.104408
11.7063,9.18433,0.160742
11.715,9.18433,0.160742
11.7306,9.67547,0.155901
11.7342,9.67547,0.155901
11.7452,10.6813,0.0852467
11.757,10.6813,0.0852467
11.7637,8.47125,0.0918967
11.7739,8.47125,0.0918967
11.7843,10.2949,0.217016
11.7956,10.2949,0.217016
11.804,11.1638,0.224617
11.816,11.1638,0.224617
11.8243,11.1638,0.224617
11.8339,6.13939,0.0836301
11.844,6.13939,0.0836301
11.857,6.13939,0.0836301
11.8658,6.87912,0.173012
11.8752,6.87912,0.173012
11.8843,13.8521,0.117171
11.8974,13.8521,0.117171
11.9038,8.57217,0.0339706
11.915,8.57217,0.0339706
11.926,10.247,0.100215
11.9366,10.247,0.100215
11.9453,10.9924,0.108568
11.9556,9.80225,0.104971
11.9653,9.80225,0.104971
11.979,9.80225,0.104971
11.9846,9.80225,0.104971
11.9953,10.0588,0.114952
12.0063,8.27162,0.10883
12.0161,8.27162,0.10883
12.0314,10.1076,0.152168
12.0342,10.1076,0.152168
12.0453,10.1076,0.152168
12.054,10.1076,0.152168
12.065,9.15951,0.126436
12.0764,9.15951,0.126436
12.0845,5.76926,0.389772
12.0972,5.76926,0.389772
12.104,9.26111,0.323002
12.1137,9.26111,0.323002
12.1265,14.3402,0.306237
12.1359,14.3402,0.306237
12.1442,12.8696,0.111176
12.1552,12.8696,0.111176
12.1666,12.8696,0.111176
12.1806,12.8696,0.111176
12.1841,9.16164,0.0587367
12.1949,9.16164,0.0587367
12.205,10.2948,0.128658
12.2176,10.2948,0.128658
12.2263,10.0105,0.152801
12.2353,10.0105,0.152801
12.2454,12.2948,0.109206
12.2562,12.2948,0.109206
12.2675,7.39316,0.111683
12.2747,7.39316,0.111683
12.2904,10.9077,0.0751133
12.2975,10.9077,0.0751133
12.3057,9.98001,0.0932845
12.3168,9.98001,0.0932845
12.325,10.099,0.0325883
12.3376,10.099,0.0325883
12.3475,10.099,0.0325883
12.3541,10.099,0.0325883
12.3654,10.4595,0.0845104
12.3745,10.4595,0.0845104
12.3845,12.8182,0.160091
12.3949,12.8182,0.160091
12.405,6.53271,0.176085
12.4249,9.42721,0.166114
12.4349,9.42721,0.166114
12.4351,9.42721,0.166114
12.4441,11.4638,0.0991211
12.4549,11.4638,0.0991211
12.4656,6.74156,0.153147
12.4762,6.74156,0.153147
12.4844,13.0534,0.191034
12.4948,11.3293,0.0201246
12.505,11.3293,0.0201246
12.5157,11.3293,0.0201246
12.5253,9.48294,0.0277489
12.5342,9.48294,0.0277489
12.5478,10.4748,0.0818413
12.5618,10.4748,0.0818413
12.5698,10.4748,0.0818413
12.5782,10.4748,0.0818413
12.5864,8.79275,0.137619
12.5982,8.79275,0.137619
12.6055,9.7171,0.0959687
12.6261,9.7171,0.0959687
12.6293,10.5684,0.165257
12.6375,7.91986,0.0645678
12.651,7.91986,0.0645678
12.6608,7.91986,0.0645678
12.6637,6.81286,0.0643739
12.6771,6.81286,0.0643739
12.686,10.7905,0.165967
12.698,10.7905,0.165967
12.7068,8.70212,0.229212
12.7171,8.70212,0.229212
