#timestamp, acel_linear, vel_angular
2.84426,9.61614,0.109336
2.85409,9.61546,0.0989214
2.86583,9.63084,0.090987
2.87453,9.64623,0.0830525
2.88429,9.5307,0.0803805
2.89365,9.41517,0.0777084
2.90734,9.50948,0.0838935
2.91387,9.60379,0.0900785
2.92519,9.82254,0.0919108
2.93389,10.0413,0.0937431
2.94566,10.0771,0.0950029
2.95357,10.1128,0.0962628
2.96417,10.1635,0.0999438
2.97713,10.2141,0.103625
2.98526,10.2528,0.108249
2.99504,10.2914,0.112874
3.00445,10.3291,0.115483
3.0144,10.3668,0.118091
3.02622,10.5496,0.11991
3.03361,10.7323,0.121728
3.04394,10.7615,0.123121
3.05495,10.7906,0.124514
3.06497,10.6916,0.125184
3.07437,10.5926,0.125855
3.08431,10.641,0.128721
3.09409,10.6893,0.131587
3.10443,10.5672,0.135121
3.11385,10.4451,0.138655
3.12418,10.4753,0.141407
3.13393,10.5055,0.14416
3.14411,10.5047,0.146512
3.15402,10.504,0.148865
3.16387,10.5968,0.148969
3.17473,10.6896,0.149074
3.18509,10.6448,0.15139
3.19393,10.6001,0.153707
3.20444,10.5121,0.145005
3.21406,10.4241,0.136303
3.224,10.1589,0.133101
3.2337,9.89362,0.1299
3.24358,9.86788,0.124708
3.25515,9.84213,0.119516
3.26648,9.84295,0.115463
3.2738,9.84376,0.11141
3.2835,9.84458,0.107358
3.29481,9.8454,0.103305
3.30493,9.82036,0.101115
3.31545,9.79533,0.0989261
3.3235,9.73596,0.0973566
3.33436,9.67658,0.0957871
3.34474,9.5724,0.0942461
3.3534,9.46822,0.0927051
3.3654,9.53347,0.091017
3.37439,9.59872,0.0893289
3.3874,9.53346,0.0852094
3.39685,9.46821,0.0810899
3.406,9.6334,0.0775036
3.41579,9.79858,0.0739172
3.42586,9.78698,0.0706784
3.43382,9.77537,0.0674397
3.44348,9.71936,0.0657406
3.45342,9.66335,0.0640415
3.46346,9.59519,0.0643409
3.47416,9.52704,0.0646403
3.4837,9.60127,0.0613899
3.49362,9.67549,0.0581395
3.50345,9.70549,0.0566447
3.51352,9.73548,0.0551499
3.52345,9.79674,0.0528038
3.53351,9.85799,0.0504577
3.54353,10.0222,0.0500947
3.55358,10.1863,0.0497318
3.56345,10.2197,0.0488109
3.57384,10.2531,0.04789
3.58348,10.1381,0.0471981
3.59405,10.023,0.0465063
3.6038,9.94304,0.0474931
3.61503,9.86307,0.0484799
3.62343,9.78309,0.0494667
3.63357,9.70312,0.0504535
3.64346,9.78696,0.0533158
3.65342,9.87081,0.0561781
3.66363,9.80079,0.0589037
3.67362,9.73077,0.0616293
3.68351,9.70144,0.0638254
3.6949,9.67211,0.0660216
3.70424,9.75793,0.06763
3.71351,9.84374,0.0692384
3.72349,9.90453,0.0707238
3.73364,9.96531,0.0722091
3.74369,10.1559,0.073772
3.75349,10.3464,0.0753349
3.76352,10.4883,0.0776299
3.77456,10.6303,0.0799248
3.78382,10.6396,0.0806179
3.7937,10.6489,0.0813109
3.80388,10.6874,0.0811947
3.81388,10.726,0.0810785
3.82376,10.7711,0.0838547
3.83363,10.8162,0.0866309
3.8436,10.6252,0.0861641
3.85368,10.4343,0.0856973
3.86364,10.3445,0.0869294
3.87376,10.2547,0.0881615
3.88348,10.3263,0.0884064
3.89356,10.398,0.0886513
3.90351,10.4454,0.0909434
3.91381,10.4928,0.0932354
3.92347,10.5379,0.0931048
3.93348,10.5831,0.0929742
3.94347,10.5734,0.0888672
3.95382,10.5637,0.0847601
3.96445,10.5774,0.0834677
3.97347,10.5911,0.0821753
3.98457,10.6048,0.0808829
3.99372,10.6185,0.0795904
4.00439,10.5319,0.0781733
4.01403,10.4453,0.0767562
4.02551,10.1908,0.0776712
4.03344,9.93628,0.0785862
4.04372,9.58184,0.0789455
4.05357,9.22741,0.0793048
4.06353,9.04891,0.0875404
4.07452,8.87042,0.0957761
4.0837,8.951,0.103786
4.09373,9.03159,0.111795
4.10351,9.00739,0.114834
4.11373,8.98319,0.117872
4.12351,8.97367,0.118535
4.13346,8.96415,0.119198
4.14351,8.96276,0.119123
4.15369,8.96136,0.119048
4.16361,8.98159,0.117058
4.17422,9.00182,0.115067
4.18383,9.02149,0.112814
4.19543,9.0167,0.110439
4.20351,9.01598,0.105913
4.21639,9.02809,0.1018
4.22345,9.04246,0.100108
4.23424,9.05682,0.0984174
4.24362,9.01591,0.0982711
4.25436,8.975,0.0981248
4.26362,8.99436,0.0961832
4.27467,9.01372,0.0942415
4.28385,9.029,0.0922655
4.29351,9.04428,0.0902896
4.30364,9.04676,0.0889826
4.31387,9.04924,0.0876756
4.32363,9.2414,0.0839376
4.3335,9.43356,0.0801996
4.34384,9.62571,0.0764616
4.35355,9.81787,0.0727236
4.36375,9.83538,0.0610745
4.37354,9.85289,0.0494255
4.38371,9.781,0.0394277
4.39386,9.70912,0.02943
4.40348,9.69029,0.025175
4.41847,9.67146,0.0209199
4.42361,9.65022,0.0166831
4.43371,9.62898,0.0124462
4.44356,9.64594,0.0116535
4.45434,9.6629,0.0108608
4.46351,9.65906,0.00977531
4.47358,9.65523,0.0086898
4.48384,9.63893,0.00862484
